Date,Open,High,Low,Close,Adj Close,Volume
2/6/2022,41441.12109,42500.78516,41244.90625,42412.43359,42412.43359,16142097334
2/7/2022,42406.78125,44401.86328,41748.15625,43840.28516,43840.28516,28641855926
2/8/2022,43854.65234,45293.86719,42807.83594,44118.44531,44118.44531,33079398868
2/9/2022,44096.70313,44727.80078,43232.96875,44338.79688,44338.79688,23245887300
2/10/2022,44347.80078,45661.17188,43402.80859,43565.11328,43565.11328,32142048537
2/11/2022,43571.12891,43810.83203,42114.53906,42407.9375,42407.9375,26954925781
2/12/2022,42412.30078,42992.55078,41852.57422,42244.46875,42244.46875,18152390304
2/13/2022,42236.56641,42693.05469,41950.94141,42197.51563,42197.51563,14741589015
2/14/2022,42157.39844,42775.77734,41681.95703,42586.91797,42586.91797,20827783012
2/15/2022,42586.46484,44667.21875,42491.03516,44575.20313,44575.20313,22721659051
2/16/2022,44578.27734,44578.27734,43456.69141,43961.85938,43961.85938,19792547657
2/17/2022,43937.07031,44132.97266,40249.37109,40538.01172,40538.01172,26246662813
2/18/2022,40552.13281,40929.15234,39637.61719,40030.97656,40030.97656,23310007704
2/19/2022,40026.02344,40418.87891,39713.05859,40122.15625,40122.15625,13736557863
2/20/2022,40118.10156,40119.89063,38112.8125,38431.37891,38431.37891,18340576452
2/21/2022,38423.21094,39394.4375,36950.47656,37075.28125,37075.28125,29280402798
2/22/2022,37068.76953,38359.85547,36488.93359,38286.02734,38286.02734,25493150450
2/23/2022,38285.28125,39122.39453,37201.81641,37296.57031,37296.57031,21849073843
2/24/2022,37278.56641,38968.83984,34459.21875,38332.60938,38332.60938,46383802093
2/25/2022,38333.74609,39630.32422,38111.34375,39214.21875,39214.21875,26545599159
2/26/2022,39213.08203,40005.34766,38702.53516,39105.14844,39105.14844,17467554129
2/27/2022,39098.69922,39778.94141,37268.97656,37709.78516,37709.78516,23450127612
2/28/2022,37706,43760.45703,37518.21484,43193.23438,43193.23438,35690014104
3/1/2022,43194.50391,44793.60156,42952.58594,44354.63672,44354.63672,32479047645
3/2/2022,44357.61719,45077.57813,43432.85156,43924.11719,43924.11719,29183112630
3/3/2022,43925.19531,44021.57813,41914.75,42451.78906,42451.78906,24967782593
3/4/2022,42458.14063,42479.61328,38805.84766,39137.60547,39137.60547,28516271427
3/5/2022,39148.44922,39566.33594,38777.03516,39400.58594,39400.58594,16975917450
3/6/2022,39404.19922,39640.17578,38211.64844,38419.98438,38419.98438,19745229902
3/7/2022,38429.30469,39430.22656,37260.20313,38062.03906,38062.03906,28546143503
3/8/2022,38059.90234,39304.44141,37957.38672,38737.26953,38737.26953,25776583476
3/9/2022,38742.81641,42465.67188,38706.09375,41982.92578,41982.92578,32284121034
3/10/2022,41974.07031,42004.72656,38832.94141,39437.46094,39437.46094,31078064711
3/11/2022,39439.96875,40081.67969,38347.43359,38794.97266,38794.97266,26364890465
3/12/2022,38794.46484,39308.59766,38772.53516,38904.01172,38904.01172,14616450657
3/13/2022,38884.72656,39209.35156,37728.14453,37849.66406,37849.66406,17300745310
3/14/2022,37846.31641,39742.5,37680.73438,39666.75391,39666.75391,24322159070
3/15/2022,39664.25,39794.62891,38310.21094,39338.78516,39338.78516,23934000868
3/16/2022,39335.57031,41465.45313,39022.34766,41143.92969,41143.92969,39616916192
3/17/2022,41140.84375,41287.53516,40662.87109,40951.37891,40951.37891,22009601093
3/18/2022,40944.83984,42195.74609,40302.39844,41801.15625,41801.15625,34421564942
3/19/2022,41794.64844,42316.55469,41602.66797,42190.65234,42190.65234,19664853187
3/20/2022,42191.40625,42241.16406,41004.75781,41247.82422,41247.82422,20127946682
3/21/2022,41246.13281,41454.41016,40668.04297,41077.99609,41077.99609,24615543271
3/22/2022,41074.10547,43124.70703,40948.28125,42358.80859,42358.80859,32004652376
3/23/2022,42364.37891,42893.50781,41877.50781,42892.95703,42892.95703,25242943069
3/24/2022,42886.65234,44131.85547,42726.16406,43960.93359,43960.93359,31042992291
3/25/2022,43964.54688,44999.49219,43706.28516,44348.73047,44348.73047,30574413034
3/26/2022,44349.85938,44735.99609,44166.27344,44500.82813,44500.82813,16950455995
3/27/2022,44505.35547,46827.54688,44437.29297,46820.49219,46820.49219,28160889722
3/28/2022,46821.85156,48086.83594,46690.20313,47128.00391,47128.00391,36362175703
3/29/2022,47100.4375,48022.28906,47100.4375,47465.73047,47465.73047,31397059069
3/30/2022,47456.89844,47655.14844,46746.21094,47062.66406,47062.66406,29333883962
3/31/2022,47062.14844,47512.02734,45390.53906,45538.67578,45538.67578,33327427106
4/1/2022,45554.16406,46616.24219,44403.14063,46281.64453,46281.64453,38162644287
4/2/2022,46285.5,47028.28125,45782.51172,45868.94922,45868.94922,29336594194
4/3/2022,45859.12891,47313.47656,45634.10547,46453.56641,46453.56641,25414397610
4/4/2022,46445.27344,46791.08984,45235.81641,46622.67578,46622.67578,32499785455
