,Diem,Khoi
868,14.05,KhoiB
869,16.1,KhoiA1
870,11.65,KhoiA1
871,11.95,KhoiB
872,11.55,KhoiA1
873,21.9,KhoiA1
874,13.85,KhoiB
875,14.8,KhoiB
876,12.55,KhoiA1
877,15.9,KhoiA1
878,14.65,KhoiB
879,17.9,KhoiB
880,10.9,KhoiB
881,16.7,KhoiA
882,13.5,KhoiA1
883,14.8,KhoiA1
884,13,KhoiA1
885,21.3,KhoiA
886,12.6,KhoiA
887,17.85,KhoiA1
888,19.2,KhoiB
889,12.65,KhoiB
890,15.3,KhoiA1
891,11.5,KhoiB
892,11.95,KhoiB
893,14.3,KhoiA
894,18,KhoiA
895,18.6,KhoiA
896,17.8,KhoiA
897,7.35,KhoiA
898,17.9,KhoiA
899,19.5,KhoiA1
900,16.15,KhoiA
901,14.5,KhoiA1
902,19.35,KhoiA1
903,18.55,KhoiA
904,15.35,KhoiA
905,19.25,KhoiA
906,15.55,KhoiB
907,17.3,KhoiB
908,17.85,KhoiB
909,14,KhoiB
910,15.2,KhoiA
911,13.9,KhoiB
912,8.8,KhoiB
913,14.5,KhoiA
914,13.5,KhoiA1
915,11.85,KhoiB
916,15.25,KhoiA1
917,19,KhoiA
918,16.75,KhoiA
919,13.2,KhoiA1
920,17.45,KhoiA1
921,13.25,KhoiB
922,14.95,KhoiA
923,12.5,KhoiA1
924,15.8,KhoiB
925,17.2,KhoiB
926,10.1,KhoiA1
927,15.4,KhoiA1
928,15.35,KhoiA1
929,8.75,KhoiA
930,10.35,KhoiB
931,14,KhoiA
932,12.1,KhoiB
933,12.7,KhoiA1
934,8.85,KhoiA
935,16.45,KhoiA
936,9.5,KhoiA1
937,16.95,KhoiA
938,11.45,KhoiA
939,15.5,KhoiA1
940,11.75,KhoiA
941,14.6,KhoiB
942,17.35,KhoiA
943,16.6,KhoiA
944,16.05,KhoiA1
945,14.75,KhoiA
946,11.8,KhoiA1
947,16.7,KhoiA
948,13.45,KhoiB
949,13.7,KhoiA
950,13.65,KhoiA
951,15.15,KhoiA
952,8.2,KhoiA1
953,15.9,KhoiA
954,11.05,KhoiA1
955,15.05,KhoiA1
956,16.5,KhoiA
957,19.25,KhoiB
958,10.4,KhoiA
959,17.7,KhoiA
960,18.2,KhoiB
961,11.8,KhoiB
962,17.3,KhoiA1
963,12.75,KhoiA1
964,14.95,KhoiA
965,21.4,KhoiA1
966,15.1,KhoiA
967,17.05,KhoiA
968,12,KhoiB
969,10.9,KhoiA1
970,16.6,KhoiB
971,13.6,KhoiB
972,9.95,KhoiB
973,11.95,KhoiA1
974,12.6,KhoiA
975,16.6,KhoiB
976,15.75,KhoiB
977,14.5,KhoiA1
978,15.05,KhoiA1
979,13.1,KhoiB
980,19.05,KhoiA
981,16.2,KhoiB
982,18.7,KhoiB
983,14.85,KhoiA
984,12.85,KhoiA1
985,11.75,KhoiA1
986,16.95,KhoiA1
987,20.1,KhoiB
988,17.6,KhoiB
989,16.3,KhoiA
990,17.7,KhoiA
991,14.85,KhoiA1
992,13.25,KhoiB
993,13.4,KhoiA
994,13.75,KhoiA1
995,13.2,KhoiA
996,15.55,KhoiB
997,12.7,KhoiB
998,14.45,KhoiA1
999,19.6,KhoiA
1000,14.25,KhoiA
